152,2016-08-01,"$117.807.714,00","$118.038.211,75","-$230.569,10","$36.221,00",0,Total:,"$141.887.309,29 ($0,00)",,,,,,,,,,,,,,,,,TMP Values
161,2016-08-02,"$117.843.935,00","$118.038.211,75","-$194.276,75","$32.881,71","-$3.339,29",Star Citizens:,1.725.021 (23),,,,,,,,,,,,,,,,,704
169,2016-08-03,"$117.876.816,71","$118.074.419,29","-$197.602,58","$28.944,26","-$3.937,45",,,,,,,,,,,,,,,,,,,"39,06069602"
171,2016-08-04,"$117.905.760,97","$118.107.518,54","-$201.757,57","$28.279,85","-$664,41",Expected values per,minute,hour,day,week,month,year,,,,,,,,,,,,
122,2016-08-05,"$117.934.040,82","$118.136.407,88","-$202.367,06","$46.151,65","$17.871,80",,"$96,61","$5.796,77","$139.122,49","$973.857,43","$4.173.674,72","$50.779.709,10",,,,,,,,,,,,
113,2016-08-06,"$117.980.192,47","$118.164.687,73","-$184.495,26","$50.835,64","$4.683,99",Difference to previous day,"$12.340,60",,,,,,,,,,,,,,,,,
133,2016-08-07,"$118.031.028,11","$118.210.732,06","-$179.703,95","$42.913,98","-$7.921,66",Avg. difference to previous day,"$72,47",,,,,,,,,,,,,,,,,
159,2016-08-08,"$118.073.942,09","$118.261.567,70","-$187.625,61","$34.159,14","-$8.754,84",,,,,,,,,,,,,,,,,,,
165,2016-08-09,"$118.108.101,23","$118.304.481,68","-$196.380,45","$31.054,90","-$3.104,24",Forecast Accuracy,"99,92%",,,,,,,,,,,,,,,,,
158,2016-08-10,"$118.139.156,13","$118.338.640,82","-$199.484,69","$34.371,83","$3.316,93",,,,,,,,,,,,,,,,,,,
130,2016-08-11,"$118.173.527,96","$118.369.695,72","-$196.167,76","$43.686,89","$9.315,06",Higheast increase at one day,"$1.562.164,06",,,,,,,,,,,,,,,,,
99,2016-08-12,"$118.217.214,85","$118.404.067,55","-$186.852,70","$55.378,69","$11.691,80",Lowest increase at one day,"$27.933,58",,,,,,,,,,,,,,,,,
70,2016-08-13,"$118.272.593,54","$118.447.754,36","-$175.160,82","$77.584,50","$22.205,81",Higheast increase in one minute,"$67.020,00",Sat Nov 19 2016 00:02:01 GMT+0100 (MEZ),,,,,,,,,,,,,,,,
86,2016-08-14,"$118.350.178,04","$118.503.133,05","-$152.955,01","$63.387,34","-$14.197,16",,,,,,,,,,,,,,,,,,,
83,2016-08-15,"$118.413.565,38","$118.580.717,55","-$167.152,17","$65.270,64","$1.883,30",Bot Status:,Data Set (daily),Total (every minute),Citizens (hourly),,,,,,,,,,,,,,,
106,2016-08-16,"$118.478.836,02","$118.644.104,89","-$165.268,87","$53.109,89","-$12.160,75",,Added data from 2017-01-20 at Sat Jan 21 2017 02:08:55 GMT+0100 (MEZ).,Updated at Sat Jan 21 2017 11:44:02 GMT+0100 (MEZ).,Updated at Sat Jan 21 2017 10:49:10 GMT+0100 (MEZ).,,,,,,,,,,,,,,,
104,2016-08-17,"$118.531.945,91","$118.709.375,53","-$177.429,62","$53.879,01","$769,12",,,,,,,,,,,,,,,,,,,
140,2016-08-18,"$118.585.824,92","$118.762.485,42","-$176.660,50","$40.704,72","-$13.174,29",,Legend,Table Structure,,,,,,,,,,,,,,,,
26,2016-08-19,"$118.626.529,64","$118.816.364,43","-$189.834,79","$241.671,05","$200.966,33",,Below Avg.,A,#Increase/Day Rank,,,,,,,,,,,,,,,
11,2016-08-20,"$118.868.200,69","$118.857.069,15","$11.131,54","$453.869,28","$212.198,23",,Avg.,B,Date,,,,,,,,,,,,,,,
20,2016-08-21,"$119.322.069,97","$119.098.740,20","$223.329,77","$316.361,70","-$137.507,58",,Above Avg.,C,Total Amount at the start (!) of the day,,,,,,,,,,,,,,,
23,2016-08-22,"$119.638.431,67","$119.552.609,48","$85.822,19","$264.351,04","-$52.010,66",,,D,Expected Total Amount,,,,,,,,,,,,,,,
27,2016-08-23,"$119.902.782,71","$119.906.671,31","-$3.888,60","$240.029,98","-$24.321,06",,Gamescom,E,Difference between real and expected total,,,,,,,,,,,,,,,
31,2016-08-24,"$120.142.812,69","$120.145.544,14","-$2.731,45","$218.139,50","-$21.890,48",,CitizenCon,F,Total Increase,,,,,,,,,,,,,,,
24,2016-08-25,"$120.360.952,19","$120.393.595,84","-$32.643,65","$261.302,49","$43.162,99",,CitCon,G,Difference between the increase amount to the day before,,,,,,,,,,,,,,,
13,2016-08-26,"$120.622.254,68","$120.627.345,93","-$5.091,25","$404.568,04","$143.265,55",,Concept Sale,,,,,,,,,,,,,,,,,
16,2016-08-27,"$121.026.822,72","$120.920.685,52","$106.137,20","$354.466,97","-$50.101,07",,New Public(!) Available Version,,,,,,,,,,,,,,,,,
19,2016-08-28,"$121.381.289,69","$121.336.855,36","$44.434,33","$335.121,12","-$19.345,85",,Anniversary Sale,,,,,,,,,,,,,,,,,
22,2016-08-29,"$121.716.410,81","$121.691.202,22","$25.208,59","$268.027,73","-$67.093,39",,,,,,,,,,,,,,,,,,,
39,2016-08-30,"$121.984.438,54","$122.014.969,26","-$30.530,72","$170.670,32","-$97.357,41",,,,,,,,,,,,,,,,,,,
41,2016-09-01,"$122.155.108,86","$122.261.258,86","-$106.150,00","$151.246,60","-$19.423,72",,,,,,,,,,,,,,,,,,,
40,2016-09-02,"$122.306.355,46","$122.414.094,28","-$107.738,82","$162.310,19","$11.063,59",,,,,,,,,,,,,,,,,,,
42,2016-09-03,"$122.468.665,65","$122.555.629,30","-$86.963,65","$144.825,36","-$17.484,83",,,,,,,,,,,,,,,,,,,
43,2016-09-04,"$122.613.491,01","$122.708.664,11","-$95.173,10","$132.491,30","-$12.334,06",,,,,,,,,,,,,,,,,,,
44,2016-09-05,"$122.745.982,31","$122.844.782,51","-$98.800,20","$124.869,14","-$7.622,16",,,,,,,,,,,,,,,,,,,
64,2016-09-06,"$122.870.851,45","$122.968.245,31","-$97.393,86","$81.723,95","-$43.145,19",,,,,,,,,,,,,,,,,,,
85,2016-09-07,"$122.952.575,40","$123.083.216,93","-$130.641,53","$64.379,96","-$17.343,99",,,,,,,,,,,,,,,,,,,
80,2016-09-08,"$123.016.955,36","$123.155.716,97","-$138.761,61","$70.751,67","$6.371,71",,,,,,,,,,,,,,,,,,,
54,2016-09-09,"$123.087.707,03","$123.212.676,99","-$124.969,96","$93.798,57","$23.046,90",,,,,,,,,,,,,,,,,,,
57,2016-09-10,"$123.181.505,60","$123.277.532,89","-$96.027,29","$91.908,71","-$1.889,86",,,,,,,,,,,,,,,,,,,
73,2016-09-11,"$123.273.414,31","$123.365.803,03","-$92.388,72","$75.898,69","-$16.010,02",,,,,,,,,,,,,,,,,,,
93,2016-09-12,"$123.349.313,00","$123.449.011,96","-$99.698,96","$61.678,15","-$14.220,54",,,,,,,,,,,,,,,,,,,
100,2016-09-13,"$123.410.991,15","$123.519.219,16","-$108.228,01","$55.036,03","-$6.642,12",,,,,,,,,,,,,,,,,,,
118,2016-09-14,"$123.466.027,18","$123.575.447,09","-$109.419,91","$48.131,23","-$6.904,80",,,,,,,,,,,,,,,,,,,
112,2016-09-15,"$123.514.158,41","$123.625.664,99","-$111.506,58","$51.660,99","$3.529,76",,,,,,,,,,,,,,,,,,,
45,2016-09-16,"$123.565.819,40","$123.671.300,95","-$105.481,55","$116.544,66","$64.883,67",,,,,,,,,,,,,,,,,,,
51,2016-09-17,"$123.682.364,06","$123.721.280,34","-$38.916,28","$101.021,85","-$15.522,81",,,,,,,,,,,,,,,,,,,
78,2016-09-18,"$123.783.385,91","$123.834.746,98","-$51.361,07","$71.852,89","-$29.168,96",,,,,,,,,,,,,,,,,,,
107,2016-09-19,"$123.855.238,80","$123.932.140,69","-$76.901,89","$53.041,84","-$18.811,05",,,,,,,,,,,,,,,,,,,
116,2016-09-20,"$123.908.280,64","$124.000.524,78","-$92.244,14","$48.654,49","-$4.387,35",,,,,,,,,,,,,,,,,,,
128,2016-09-21,"$123.956.935,13","$124.050.003,81","-$93.068,68","$44.380,18","-$4.274,31",,,,,,,,,,,,,,,,,,,
132,2016-09-22,"$124.001.315,31","$124.095.484,70","-$94.169,39","$43.123,67","-$1.256,51",,,,,,,,,,,,,,,,,,,
89,2016-09-23,"$124.044.438,98","$124.137.397,23","-$92.958,25","$62.787,70","$19.664,03",,,,,,,,,,,,,,,,,,,
96,2016-09-24,"$124.107.226,68","$124.178.122,48","-$70.895,80","$58.099,25","-$4.688,45",,,,,,,,,,,,,,,,,,,
119,2016-09-25,"$124.165.325,93","$124.238.378,62","-$73.052,69","$47.775,47","-$10.323,78",,,,,,,,,,,,,,,,,,,
127,2016-09-26,"$124.213.101,40","$124.293.942,77","-$80.841,37","$44.448,40","-$3.327,07",,,,,,,,,,,,,,,,,,,
147,2016-09-27,"$124.257.549,80","$124.339.153,73","-$81.603,93","$37.825,66","-$6.622,74",,,,,,,,,,,,,,,,,,,
154,2016-09-28,"$124.295.375,46","$124.381.128,27","-$85.752,81","$36.044,89","-$1.780,77",,,,,,,,,,,,,,,,,,,
135,2016-09-29,"$124.331.420,35","$124.336.287,19","-$4.866,84","$42.086,73","$6.041,84",,,,,,,,,,,,,,,,,,,
52,2016-09-30,"$124.373.507,08","$124.323.060,71","$50.446,37","$98.367,89","$56.281,16",-Tweaked Forecast calculation-,,,,,,,,,,,,,,,,,,
53,2016-10-01,"$124.471.874,97","$124.380.350,72","$91.524,25","$96.758,48","-$1.609,41",,,,,,,,,,,,,,,,,,,
84,2016-10-02,"$124.568.633,45","$124.472.391,50","$96.241,95","$65.041,10","-$31.717,38",,,,,,,,,,,,,,,,,,,
102,2016-10-03,"$124.633.674,55","$124.569.377,45","$64.297,10","$54.708,77","-$10.332,33",,,,,,,,,,,,,,,,,,,
110,2016-10-04,"$124.688.383,32","$124.633.275,55","$55.107,77","$52.352,91","-$2.355,86",,,,,,,,,,,,,,,,,,,
117,2016-10-05,"$124.740.736,23","$124.687.878,32","$52.857,91","$48.255,74","-$4.097,17",,,,,,,,,,,,,,,,,,,
120,2016-10-06,"$124.788.991,97","$124.742.363,03","$46.628,94","$47.555,70","-$700,04",,,,,,,,,,,,,,,,,,,
111,2016-10-07,"$124.836.547,67","$124.839.893,15","-$3.345,48","$51.897,98","$4.342,28",,,,,,,,,,,,,,,,,,,
1,2016-10-08,"$124.888.445,65","$124.788.414,28","$100.031,37","$1.562.164,06","$1.510.266,08",,,,,,,,,,,,,,,,,,,
25,2016-10-09,"$126.450.609,71","$124.912.520,77","$1.538.088,94","$254.206,72","-$1.307.957,34",,,,,,,,,,,,,,,,,,,
5,2016-10-10,"$126.704.816,43","$126.446.084,77","$258.731,66","$688.122,90","$433.916,18",,,,,,,,,,,,,,,,,,,
21,2016-10-11,"$127.392.939,33","$126.715.079,15","$677.860,18","$288.437,38","-$399.685,52",,,,,,,,,,,,,,,,,,,
28,2016-10-12,"$127.681.376,71","$127.399.369,83","$282.006,88","$237.352,16","-$51.085,22",,,,,,,,,,,,,,,,,,,
34,2016-10-13,"$127.918.728,87","$127.687.444,71","$231.284,16","$206.772,60","-$30.579,56",,,,,,,,,,,,,,,,,,,
32,2016-10-14,"$128.125.501,47","$127.904.563,25","$220.938,22","$216.707,43","$9.934,83",,,,,,,,,,,,,,,,,,,
29,2016-10-15,"$128.342.208,90","$128.131.859,36","$210.349,54","$226.009,35","$9.301,92",,,,,,,,,,,,,,,,,,,
30,2016-10-16,"$128.568.218,25","$128.340.899,29","$227.318,96","$220.804,81","-$5.204,54",,,,,,,,,,,,,,,,,,,
38,2016-10-17,"$128.789.023,06","$128.579.008,36","$210.014,70","$172.959,71","-$47.845,10",,,,,,,,,,,,,,,,,,,
50,2016-10-18,"$128.961.982,77","$128.794.409,36","$167.573,41","$101.217,14","-$71.742,57",,,,,,,,,,,,,,,,,,,
72,2016-10-19,"$129.063.199,91","$128.962.757,72","$100.442,19","$76.274,10","-$24.943,04",,,,,,,,,,,,,,,,,,,
88,2016-10-20,"$129.139.474,01","$129.063.649,91","$75.824,10","$62.973,00","-$13.301,10",,,,,,,,,,,,,,,,,,,
92,2016-10-21,"$129.202.447,01","$129.139.399,01","$63.048,00","$61.737,13","-$1.235,87",,,,,,,,,,,,,,,,,,,
97,2016-10-22,"$129.264.184,14","$129.203.937,79","$60.246,35","$56.661,13","-$5.076,00",,,,,,,,,,,,,,,,,,,
124,2016-10-23,"$129.320.845,27","$129.265.102,50","$55.742,77","$45.642,45","-$11.018,68",,,,,,,,,,,,,,,,,,,
149,2016-10-24,"$129.366.487,72","$129.321.362,61","$45.125,11","$36.582,38","-$9.060,07",,,,,,,,,,,,,,,,,,,
156,2016-10-25,"$129.403.070,10","$129.366.956,24","$36.113,86","$34.968,62","-$1.613,76",,,,,,,,,,,,,,,,,,,
155,2016-10-26,"$129.438.038,72","$129.402.640,10","$35.398,62","$35.065,94","$97,32",,,,,,,,,,,,,,,,,,,
142,2016-10-27,"$129.473.104,66","$129.437.940,00","$35.164,66","$40.136,23","$5.070,29",,,,,,,,,,,,,,,,,,,
144,2016-10-28,"$129.513.240,89","$129.472.889,68","$40.351,21","$40.007,02","-$129,21",,,,,,,,,,,,,,,,,,,
123,2016-10-29,"$129.553.247,91","$129.510.999,89","$42.248,02","$45.800,52","$5.793,50",,,,,,,,,,,,,,,,,,,
141,2016-10-30,"$129.599.048,43","$129.556.047,66","$43.000,77","$40.657,79","-$5.142,73",,,,,,,,,,,,,,,,,,,
131,2016-10-31,"$129.639.706,22","$129.597.857,65","$41.848,57","$43.253,55","$2.595,76",,,,,,,,,,,,,,,,,,,
98,2016-11-01,"$129.682.959,77","$129.638.994,46","$43.965,31","$55.782,22","$12.528,67",,,,,,,,,,,,,,,,,,,
139,2016-11-02,"$129.738.741,99","$129.683.528,43","$55.213,56","$40.708,22","-$15.074,00",,,,,,,,,,,,,,,,,,,
136,2016-11-03,"$129.779.450,21","$129.738.856,25","$40.593,96","$42.024,67","$1.316,45",,,,,,,,,,,,,,,,,,,
65,2016-11-04,"$129.821.474,88","$129.774.301,21","$47.173,67","$81.056,79","$39.032,12",,,,,,,,,,,,,,,,,,,
